id,gamescount,last_game_win,round_type_1,round_type_2,round_type_3,total_cards_done,total_length,total_lost,total_magic_used,total_win,turnir_counts,turnir_wins,type_1,type_2,visits,skill,magic_for_card,card_for_game,magic_for_game,games_for_visit,more_win_then_mean,more_length_then_mean,more_magic_then_mean
218723,2,0,0.0,0.0,0.0,62,1002,1,1,1,0,0,1.0,0.0,1,0.5,0.015873015873015872,31.0,0.5,2.0,False,False,False
218736,11,1,0.0,0.0,0.0,343,3675,2,9,9,0,0,1.0,0.0,3,0.8181818181818182,0.02616279069767442,31.181818181818183,0.8181818181818182,3.6666666666666665,True,True,True
218742,3,0,0.0,0.0,0.0,115,602,0,3,3,0,0,1.0,0.0,1,1.0,0.02586206896551724,38.333333333333336,1.0,3.0,False,False,False
218744,13,0,0.0,0.0,0.0,452,2944,3,10,10,0,0,1.0,0.0,1,0.7692307692307693,0.02207505518763797,34.76923076923077,0.7692307692307693,13.0,True,True,True
218745,55,1,0.0,0.0,0.0,1175,10832,9,46,46,0,0,1.0,0.0,2,0.8363636363636363,0.0391156462585034,21.363636363636363,0.8363636363636363,27.5,True,True,True
218746,42,0,0.0,0.0,0.0,449,7946,11,31,31,0,0,1.0,0.0,4,0.7380952380952381,0.06888888888888889,10.69047619047619,0.7380952380952381,10.5,True,True,True
218747,40,0,0.0,0.0,0.0,1476,5760,2,38,38,0,0,1.0,0.0,1,0.95,0.025727826675693975,36.9,0.95,40.0,True,True,True
218749,4,0,0.0,0.0,0.0,30,556,1,3,3,0,0,1.0,0.0,1,0.75,0.0967741935483871,7.5,0.75,4.0,False,False,False
218755,6,0,0.0,0.0,0.0,161,1849,3,3,3,0,0,1.0,0.0,2,0.5,0.018518518518518517,26.833333333333332,0.5,3.0,False,True,False
218761,6,0,0.0,0.0,0.0,102,3481,1,5,5,0,0,1.0,0.0,1,0.8333333333333334,0.04854368932038835,17.0,0.8333333333333334,6.0,True,True,True
218765,2,0,0.0,0.0,0.0,103,612,1,1,1,0,0,1.0,0.0,1,0.5,0.009615384615384616,51.5,0.5,2.0,False,False,False
218766,1,0,0.0,0.0,0.0,15,424,1,0,0,0,0,1.0,0.0,1,0.0,0.0,15.0,0.0,1.0,False,False,False
218769,33,0,0.0,0.0,0.0,921,7211,5,28,28,0,0,1.0,0.0,2,0.8484848484848485,0.03036876355748373,27.90909090909091,0.8484848484848485,16.5,True,True,True
218770,20,0,0.0,0.0,0.0,891,3157,1,19,19,0,0,1.0,0.0,1,0.95,0.021300448430493273,44.55,0.95,20.0,True,True,True
218771,16,0,0.0,0.0,0.0,547,5085,2,14,14,0,0,1.0,0.0,1,0.875,0.025547445255474453,34.1875,0.875,16.0,True,True,True
218772,10,0,0.0,0.0,0.0,82,2998,2,8,8,0,0,1.0,0.0,1,0.8,0.0963855421686747,8.2,0.8,10.0,True,True,True
218773,15,0,0.0,0.0,0.0,640,5140,2,13,13,0,0,1.0,0.0,2,0.8666666666666667,0.0202808112324493,42.666666666666664,0.8666666666666667,7.5,True,True,True
218775,3,0,0.0,0.0,0.0,92,641,1,2,2,0,0,1.0,0.0,1,0.6666666666666666,0.021505376344086023,30.666666666666668,0.6666666666666666,3.0,False,False,False
218776,6,0,0.0,0.0,0.0,171,653,0,6,6,0,0,1.0,0.0,1,1.0,0.03488372093023256,28.5,1.0,6.0,True,False,True
218778,50,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1532,5767,6,44,44,3,0,0.94,0.06,2,0.88,0.028701891715590344,30.64,0.88,25.0,True,True,True
218784,12,0,0.0,0.0,0.0,392,1556,0,12,12,0,0,1.0,0.0,1,1.0,0.030534351145038167,32.666666666666664,1.0,12.0,True,True,True
218793,20,1,0.0,0.0,0.0,151,3233,2,18,18,0,0,1.0,0.0,3,0.9,0.11842105263157894,7.55,0.9,6.666666666666667,True,True,True
218790,12,0,0.0,0.0,0.0,304,3405,2,10,10,0,0,1.0,0.0,2,0.8333333333333334,0.03278688524590164,25.333333333333332,0.8333333333333334,6.0,True,True,True
218803,36,1,0.0,0.0,0.0,1229,6529,4,32,32,0,0,1.0,0.0,3,0.8888888888888888,0.026016260162601626,34.138888888888886,0.8888888888888888,12.0,True,True,True
218809,96,0,0.375,0.3541666666666667,0.2708333333333333,3147,10265,13,83,83,48,12,0.5,0.5,3,0.8645833333333334,0.02636594663278272,32.78125,0.8645833333333334,32.0,True,True,True
218814,1,0,0.0,0.0,0.0,50,392,1,0,0,0,0,1.0,0.0,1,0.0,0.0,50.0,0.0,1.0,False,False,False
218816,15,0,0.0,0.0,0.0,508,3346,3,12,12,0,0,1.0,0.0,1,0.8,0.023575638506876228,33.86666666666667,0.8,15.0,True,True,True
218817,3,0,0.0,0.0,0.0,120,617,0,3,3,0,0,1.0,0.0,1,1.0,0.024793388429752067,40.0,1.0,3.0,False,False,False
218818,25,1,0.0,0.0,0.0,970,7026,2,23,23,0,0,1.0,0.0,2,0.92,0.02368692070030896,38.8,0.92,12.5,True,True,True
218821,13,1,0.0,0.0,0.0,547,2505,2,11,11,0,0,1.0,0.0,3,0.8461538461538461,0.020072992700729927,42.07692307692308,0.8461538461538461,4.333333333333333,True,True,True
218822,133,1,0.38235294117647056,0.3382352941176471,0.27941176470588236,3490,25898,17,116,116,68,18,0.48872180451127817,0.5112781954887218,3,0.8721804511278195,0.03322830134631911,26.2406015037594,0.8721804511278195,44.333333333333336,True,True,True
218826,2,0,0.0,0.0,0.0,29,528,1,1,1,0,0,1.0,0.0,1,0.5,0.03333333333333333,14.5,0.5,2.0,False,False,False
218828,1,0,0.0,0.0,0.0,0,59,1,0,0,0,0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,False,False,False
218830,80,0,0.3870967741935484,0.3548387096774194,0.25806451612903225,2019,9664,9,71,71,31,7,0.6125,0.3875,5,0.8875,0.03514851485148515,25.2375,0.8875,16.0,True,True,True
218834,6,0,0.0,0.0,0.0,109,1627,0,6,6,0,0,1.0,0.0,1,1.0,0.05454545454545454,18.166666666666668,1.0,6.0,True,True,True
218806,1,0,0.0,0.0,0.0,5,539,1,0,0,0,0,1.0,0.0,1,0.0,0.0,5.0,0.0,1.0,False,False,False
218836,124,2,0.46153846153846156,0.38461538461538464,0.15384615384615385,3692,26240,20,104,104,13,2,0.8951612903225806,0.10483870967741936,4,0.8387096774193549,0.028161386406715408,29.774193548387096,0.8387096774193549,31.0,True,True,True
218838,6,0,0.0,0.0,0.0,261,731,1,5,5,0,0,1.0,0.0,1,0.8333333333333334,0.019083969465648856,43.5,0.8333333333333334,6.0,True,False,True
218850,115,0,0.39285714285714285,0.39285714285714285,0.21428571428571427,2978,17074,16,99,99,28,6,0.7565217391304347,0.24347826086956523,2,0.8608695652173913,0.03323262839879154,25.895652173913042,0.8608695652173913,57.5,True,True,True
218851,16,0,0.0,0.0,0.0,281,6134,7,9,9,0,0,1.0,0.0,2,0.5625,0.031914893617021274,17.5625,0.5625,8.0,True,True,True
218853,9,0,0.0,0.0,0.0,312,2073,1,8,8,0,0,1.0,0.0,1,0.8888888888888888,0.025559105431309903,34.666666666666664,0.8888888888888888,9.0,True,True,True
218859,5,0,0.0,0.0,0.0,137,1129,1,4,4,0,0,1.0,0.0,1,0.8,0.028985507246376812,27.4,0.8,5.0,False,False,False
218568,3,0,0.0,0.0,0.0,107,411,0,3,3,0,0,1.0,0.0,1,1.0,0.027777777777777776,35.666666666666664,1.0,3.0,False,False,False
218862,13,1,0.0,0.0,0.0,272,3363,0,13,13,0,0,0.9230769230769231,0.0,2,1.0,0.047619047619047616,20.923076923076923,1.0,6.5,True,True,True
218863,1,0,0.0,0.0,0.0,0,55,1,0,0,0,0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,False,False,False
218865,7,0,0.0,0.0,0.0,321,2042,1,6,6,0,0,1.0,0.0,1,0.8571428571428571,0.018633540372670808,45.857142857142854,0.8571428571428571,7.0,True,True,True
218867,3,0,0.0,0.0,0.0,40,1240,1,2,2,0,0,1.0,0.0,1,0.6666666666666666,0.04878048780487805,13.333333333333334,0.6666666666666666,3.0,False,False,False
218869,30,0,0.0,0.0,0.0,575,8650,13,17,17,0,0,1.0,0.0,3,0.5666666666666667,0.029513888888888888,19.166666666666668,0.5666666666666667,10.0,True,True,True
218870,15,0,0.0,0.0,0.0,540,2525,0,15,15,0,0,1.0,0.0,1,1.0,0.027726432532347505,36.0,1.0,15.0,True,True,True
218873,18,1,0.0,0.0,0.0,782,3584,2,16,16,0,0,1.0,0.0,3,0.8888888888888888,0.020434227330779056,43.44444444444444,0.8888888888888888,6.0,True,True,True
218874,3,0,0.0,0.0,0.0,115,488,0,3,3,0,0,1.0,0.0,1,1.0,0.02586206896551724,38.333333333333336,1.0,3.0,False,False,False
218881,12,0,0.0,0.0,0.0,497,2323,0,12,12,0,0,1.0,0.0,1,1.0,0.024096385542168676,41.416666666666664,1.0,12.0,True,True,True
218887,2,0,0.0,0.0,0.0,13,178,1,1,1,0,0,1.0,0.0,1,0.5,0.07142857142857142,6.5,0.5,2.0,False,False,False
218889,4,0,0.0,0.0,0.0,23,2321,2,2,2,0,0,1.0,0.0,2,0.5,0.08333333333333333,5.75,0.5,2.0,False,True,False
218891,13,0,0.0,0.0,0.0,520,3223,2,11,11,0,0,1.0,0.0,1,0.8461538461538461,0.02111324376199616,40.0,0.8461538461538461,13.0,True,True,True
218892,14,0,0.0,0.0,0.0,511,4731,2,12,12,0,0,1.0,0.0,2,0.8571428571428571,0.0234375,36.5,0.8571428571428571,7.0,True,True,True
218907,20,0,0.0,0.0,0.0,628,5799,5,15,15,0,0,1.0,0.0,1,0.75,0.02384737678855326,31.4,0.75,20.0,True,True,True
218894,3,0,0.0,0.0,0.0,133,886,0,3,3,0,0,1.0,0.0,1,1.0,0.022388059701492536,44.333333333333336,1.0,3.0,False,False,False
218910,9,0,0.0,0.0,0.0,265,2798,1,8,8,0,0,1.0,0.0,1,0.8888888888888888,0.03007518796992481,29.444444444444443,0.8888888888888888,9.0,True,True,True
218913,3,0,0.0,0.0,0.0,156,1068,0,3,3,0,0,1.0,0.0,1,1.0,0.01910828025477707,52.0,1.0,3.0,False,False,False
218915,44,0,0.0,0.0,0.0,1172,12756,8,36,36,0,0,1.0,0.0,4,0.8181818181818182,0.030690537084398978,26.636363636363637,0.8181818181818182,11.0,True,True,True
218917,29,0,0.0,0.0,0.0,996,7621,2,27,27,0,0,1.0,0.0,2,0.9310344827586207,0.02708124373119358,34.3448275862069,0.9310344827586207,14.5,True,True,True
218918,24,3,1.0,0.0,0.0,839,2744,2,22,22,1,0,0.9583333333333334,0.041666666666666664,4,0.9166666666666666,0.02619047619047619,34.958333333333336,0.9166666666666666,6.0,True,True,True
218919,30,0,0.0,0.0,0.0,649,4984,3,27,27,0,0,1.0,0.0,1,0.9,0.04153846153846154,21.633333333333333,0.9,30.0,True,True,True
218921,6,0,0.0,0.0,0.0,131,1019,0,6,6,0,0,1.0,0.0,1,1.0,0.045454545454545456,21.833333333333332,1.0,6.0,True,False,True
218927,38,0,0.0,0.0,0.0,1033,6116,2,36,36,0,0,1.0,0.0,2,0.9473684210526315,0.03481624758220503,27.18421052631579,0.9473684210526315,19.0,True,True,True
218929,227,0,0.375,0.375,0.25,7675,25203,31,196,196,64,12,0.7180616740088106,0.28193832599118945,2,0.8634361233480177,0.02553413236060448,33.81057268722467,0.8634361233480177,113.5,True,True,True
218932,3,0,0.0,0.0,0.0,55,742,2,1,1,0,0,1.0,0.0,2,0.3333333333333333,0.017857142857142856,18.333333333333332,0.3333333333333333,1.5,False,False,False
218934,7,0,0.0,0.0,0.0,179,2848,1,6,6,0,0,1.0,0.0,1,0.8571428571428571,0.03333333333333333,25.571428571428573,0.8571428571428571,7.0,True,True,True
218935,19,0,0.0,0.0,0.0,642,3242,2,17,17,0,0,1.0,0.0,1,0.8947368421052632,0.026438569206842923,33.78947368421053,0.8947368421052632,19.0,True,True,True
218940,1,0,0.0,0.0,0.0,0,55,1,0,0,0,0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,False,False,False
218942,3,0,0.0,0.0,0.0,156,353,0,3,3,0,0,1.0,0.0,1,1.0,0.01910828025477707,52.0,1.0,3.0,False,False,False
218943,3,0,0.0,0.0,0.0,120,682,0,3,3,0,0,1.0,0.0,1,1.0,0.024793388429752067,40.0,1.0,3.0,False,False,False
218875,7,0,0.0,0.0,0.0,252,1461,3,4,4,0,0,1.0,0.0,3,0.5714285714285714,0.015810276679841896,36.0,0.5714285714285714,2.3333333333333335,False,True,False
